iter	RMSE
0	8.86047828
1	8.686822819
2	8.534708229
3	8.364132097
4	8.204062795
5	8.047142483
6	7.902840677
7	7.753028854
8	7.607011046
9	7.478630286
10	7.337139045
11	7.195442882
12	7.071458689
13	6.949037598
14	6.823139144
15	6.702792781
16	6.59645556
17	6.481358701
18	6.385158731
19	6.290989518
20	6.186187081
21	6.086025698
22	5.991204804
23	5.897561902
24	5.817470711
25	5.734814776
26	5.655438135
27	5.58693152
28	5.519564035
29	5.437469345
30	5.356855305
31	5.281395441
32	5.197851235
33	5.131891176
34	5.064688589
35	5.004603847
36	4.950315352
37	4.8931196
38	4.842420479
39	4.779498162
40	4.717190649
41	4.666335752
42	4.602241442
43	4.544994383
44	4.493026607
45	4.446268092
46	4.397037729
47	4.34795181
48	4.305296799
49	4.256231877
50	4.222955623
51	4.178626538
52	4.144736362
53	4.101475164
54	4.066591266
55	4.033871492
56	3.993491121
57	3.958322224
58	3.92099679
59	3.88900692
60	3.864231041
61	3.831406529
62	3.802962846
63	3.772165696
64	3.743395387
65	3.710591057
66	3.684121841
67	3.655483045
68	3.623569114
69	3.588293435
70	3.56689356
71	3.549309936
72	3.528299179
73	3.505567193
74	3.488720982
75	3.470791912
76	3.44705585
77	3.417926943
78	3.394117174
79	3.368978428
80	3.357458598
81	3.336226372
82	3.313894026
83	3.301273586
84	3.276789795
85	3.261072783
86	3.238020667
87	3.226775018
88	3.206208004
89	3.188034081
90	3.173773163
91	3.159333502
92	3.141538037
93	3.12870033
94	3.115574232
95	3.102980508
96	3.086796975
97	3.076385857
98	3.06124898
99	3.043400189
100	3.026973499
101	3.017433832
102	3.003981857
103	2.991450689
104	2.980516487
105	2.971961762
106	2.960526244
107	2.946411995
108	2.934275351
109	2.921309722
110	2.914135762
111	2.902740357
112	2.890181908
113	2.880104536
114	2.870313799
115	2.860564168
116	2.847610272
117	2.831949352
118	2.824126098
119	2.817058806
120	2.807769107
121	2.795509547
122	2.785318029
123	2.778235856
124	2.772317844
125	2.762469259
126	2.753124308
127	2.745620745
128	2.737696161
129	2.730612924
130	2.72270242
131	2.716887836
132	2.707943507
133	2.700728766
134	2.693496651
135	2.684857736
136	2.67866892
137	2.674487289
138	2.664110624
139	2.658534516
140	2.650171034
141	2.644225209
142	2.637387947
143	2.632380953
144	2.62339377
145	2.61944792
146	2.613232631
147	2.60337211
148	2.598713615
149	2.594994747
150	2.586729393
151	2.582854077
152	2.57615698
153	2.570066382
154	2.565723661
155	2.56005639
156	2.554843728
157	2.550416641
158	2.541944214
159	2.532249254
160	2.528111077
161	2.521231124
162	2.514139923
163	2.508521757
164	2.499721221
165	2.492151496
166	2.483832872
167	2.477152563
168	2.471868343
169	2.465447223
170	2.460726258
171	2.456378598
172	2.450384221
173	2.441851246
174	2.43724041
175	2.430626308
176	2.426482934
177	2.420630171
178	2.412234351
179	2.405912734
180	2.401799712
181	2.394368114
182	2.389530109
183	2.383299649
184	2.378917204
185	2.375015442
186	2.370203692
187	2.365532517
188	2.359048048
189	2.355250351
190	2.348457113
191	2.345908772
192	2.334676543
193	2.330553693
194	2.326904872
195	2.321765063
196	2.316926206
197	2.312921065
198	2.30683103
199	2.301793824
200	2.297025288
201	2.292439376
202	2.288839258
203	2.285434017
204	2.280850587
205	2.276666143
206	2.272224569
207	2.266486126
208	2.262840368
209	2.258388732
210	2.255959631
211	2.250859742
212	2.248233541
213	2.246312356
214	2.239644286
215	2.233974532
216	2.227598296
217	2.224181303
218	2.21977603
219	2.213401345
220	2.209698694
221	2.204779248
222	2.200183232
223	2.193293477
224	2.185831982
225	2.182380665
226	2.177598212
227	2.171593399
228	2.168036847
229	2.164329539
230	2.161271378
231	2.154833265
232	2.150475494
233	2.141726713
234	2.137271357
235	2.132800045
236	2.128097569
237	2.123253345
238	2.117943039
239	2.114616095
240	2.112201719
241	2.108602193
242	2.104561871
243	2.097948096
244	2.091490802
245	2.088000787
246	2.08321887
247	2.077416466
248	2.074086879
249	2.068918012
250	2.06614461
251	2.064084748
252	2.0585896
253	2.052277923
254	2.048161008
255	2.043596149
256	2.039286995
257	2.034265348
258	2.030987872
259	2.025756988
260	2.020500575
261	2.016949957
262	2.012334918
263	2.008778287
264	2.004237795
265	2.000118984
266	1.995184334
267	1.990962269
268	1.988068406
269	1.982647512
270	1.980577033
271	1.976988711
272	1.973935352
273	1.969339803
274	1.966188167
275	1.960882318
276	1.956572386
277	1.952632061
278	1.949949361
279	1.947115432
280	1.942764626
281	1.939450747
282	1.937137119
283	1.934087983
284	1.930565425
285	1.927422138
286	1.923188512
287	1.920748691
288	1.917906894
289	1.915783102
290	1.913627908
291	1.910464677
292	1.907407043
293	1.901051702
294	1.895689227
295	1.89406486
296	1.889615228
297	1.886164475
298	1.882691584
299	1.878816042
300	1.875446692
301	1.871697868
302	1.867215963
303	1.864750251
304	1.860847119
305	1.857418254
