iter	Passed	Remaining
0	4	4818
1	6	3439
2	8	2959
3	10	2704
4	12	2475
5	15	2585
6	18	2558
7	19	2416
8	21	2317
9	22	2228
10	24	2159
11	25	2084
12	26	2018
13	28	1974
14	30	2022
15	33	2044
16	34	2004
17	36	2007
18	38	2009
19	40	1966
20	41	1918
21	42	1875
22	45	1926
23	46	1904
24	47	1868
25	49	1840
26	50	1807
27	51	1800
28	53	1779
29	54	1753
30	55	1728
31	56	1703
32	58	1718
33	60	1720
34	61	1708
35	64	1714
36	65	1692
37	66	1674
38	67	1652
39	67	1631
40	69	1620
41	70	1605
42	71	1588
43	73	1592
44	75	1596
45	76	1596
46	78	1582
47	78	1565
48	80	1557
49	81	1543
50	82	1531
51	83	1524
52	85	1525
53	86	1509
54	87	1509
55	89	1512
56	91	1507
57	92	1507
58	95	1515
59	96	1509
60	97	1499
61	98	1489
62	99	1485
63	100	1473
64	102	1471
65	104	1484
66	106	1476
67	106	1466
68	108	1462
69	109	1451
70	110	1442
71	111	1431
72	112	1429
73	113	1421
74	114	1417
75	116	1416
76	120	1443
77	122	1447
78	124	1447
79	125	1444
80	127	1441
81	128	1438
82	130	1446
83	132	1441
84	134	1449
85	138	1472
86	139	1467
87	140	1460
88	142	1457
89	143	1453
90	145	1451
91	146	1443
92	147	1439
93	150	1454
94	153	1460
95	154	1456
96	155	1451
97	157	1445
98	158	1441
99	159	1435
100	160	1429
101	161	1425
102	162	1419
103	165	1426
104	167	1428
105	168	1423
106	170	1419
107	171	1414
108	172	1412
109	173	1407
110	174	1400
111	176	1397
112	178	1401
113	182	1420
114	183	1415
115	185	1411
116	186	1405
117	187	1400
118	188	1396
119	190	1394
120	192	1395
121	193	1395
122	197	1408
123	199	1406
124	201	1409
125	202	1406
126	204	1402
127	206	1406
128	208	1406
129	210	1411
130	213	1415
131	214	1412
132	216	1410
133	217	1406
134	219	1406
135	220	1403
136	222	1403
137	224	1400
138	227	1407
139	229	1412
140	231	1408
141	232	1404
142	233	1401
143	236	1405
144	238	1404
145	239	1400
146	242	1408
147	246	1420
148	248	1416
149	249	1415
150	251	1413
151	252	1411
152	254	1408
153	255	1405
154	258	1410
155	260	1407
156	261	1403
157	263	1402
158	265	1404
159	267	1401
160	268	1397
161	269	1394
162	273	1405
163	275	1402
164	276	1400
165	278	1398
166	280	1399
167	282	1396
168	283	1396
169	285	1395
170	288	1399
171	290	1400
172	293	1400
173	294	1398
